"Subsection Code","Section","Subsection","Metadata"
"7.1","Formal Provision","Confidentiality - policy","FAO Statistical Quality Assurance Framework, Principle 10: ""All data subject to national confidentiality policies (e.g. concerning people and legal entities, or small aggregates) are kept strictly confidential, and are used exclusively for statistical purposes, or for purposes mandated by legislation."""
"7.2","Formal Provision","Confidentiality - data treatment","Only non-confidential data are recorded."
"8.0","Policy Regarding the Release","Release policy","Data are released once a year or when they are available."
"8.1","Policy Regarding the Release","Release calendar","Dates for new data releases are pre-announced on FAOSTAT Release Calendar:http://fenixservices.fao.org/faostat/static/releasecalendar/Default.aspx"
"8.2","Policy Regarding the Release","Release calendar access","http://faostat3.fao.org/home/faostatReleaseCalendar.html"
"8.3","Policy Regarding the Release","User access","In line with FAO’s Statistics Code of Practice data are disseminated on FAO's website respecting professional independence and in an objective, professional and transparent manner in which all users are treated equitably."
"8.3.1","Policy Regarding the Release","User access code",""
"9.0","Frequency Disseminated  Data","Frequency of dissemniation","Yearly"
"9.1","Frequency Disseminated  Data","Dissemination code",""
"10.0","Means of Dissemination","Dissemination format",""
"10.1","Means of Dissemination","News release","Ad-hoc news releases"
"10.2","Means of Dissemination","Publications","FAO Global Statistical Yearbook, FAO Regional Statistical Yearbooks. World Food and Agriculture - Statistical Pocketbook 2018 (forthcoming)."
"10.3","Means of Dissemination","Means of Dissemination","http://www.fao.org/faostat/en/#data/EL"
"10.4","Means of Dissemination","Micro-data access","No micro data"
"10.5","Means of Dissemination","Other","None"
"11.1","Availability of National Reference","Documentation on methodology","A document describing the FAOSTAT methodology is available in the section ""Related Documents"" as a pdf (README_Methodological_Note)."
"11.2","Availability of National Reference","Quality documentation",""
"12.0","Management System FAO","Quality management",""
"12.1","Management System FAO","Quality assurance","Statistics are subject to the general quality assurance framework of FAO, where domain-specific quality assurance activities (the use of best practices, quality reviews, self-assessments, compliance monitoring) are carried out systematically. See also the FAO Statistics Quality Assurance Framework is available http://www.fao.org/docrep/019/i3664e/i3664e.pdf"
"12.2","Management System FAO","Quality assessment","The quality of underlying land use data may vary considerably between countries."
"13.1","Classification Users","User needs","The main users are FAO analysts, other international organizations, ministries and government agencies, agro-industry, trade and professional associations, research institutes and universities, journalists and general public. The objectives of these users vary, but these types of agriculture statistics are especially useful for market management/monitoring, production forecasts and policy-making in agriculture and food. FAO is not aware of unmet needs."
"13.2","Classification Users","User satisfaction","No user satisfaction studies have been conducted as yet."
"13.3","Classification Users","Completeness",""
"14.1","Main Sources of Error","Overall accuracy","Accuracy in estimates of the shares of land use categories depends on the underlying data and methodology. The numerator and denominator used to calculatethe shares are primarily derived from FAOSTAT Inputs/Land Use data. FAOSTAT Agri-environmental Indicators—Land Use data are estimated by FAO and may not coincide with data reported by member countries to relevant international processes."
"14.2","Main Sources of Error","Sampling error","No information available."
"14.3","Main Sources of Error","Non-sampling error","No information available of the magnitude on non-sampling errors. One such category of errors is measurement errors which are due mainly to lack of harmonisation in statistical methods. For instance, when FAO concepts do not fit with national concepts, there may be significant measurement errors."
"15.1","Timeliness and punctuality","Timeliness",""
"15.2","Timeliness and punctuality","Punctuality","Between T-1 and T-3"
"16.1","Comparability Between Countries or Regions","Comparability - geographical","Geographical comparability is limited, except for countries in, for instance, EU or the OECD."
"16.1.1","Comparability Between Countries or Regions","Code - geographical comparability",""
"16.2","Comparability Between Countries or Regions","Comparability - over time","Reasonably good comparability over time can be expected."
"16.2.1","Comparability Between Countries or Regions","Code - time Comparability",""
"17.1","Differences of the statistical outputs","Coherence - cross domain","Cross domain coherence is fairly good"
"17.1.1","Differences of the statistical outputs","Code - cross domain coherence",""
"17.2","Differences of the statistical outputs","Coherence - internal",""
"18.0","Cost associated","Cost and Burden",""
"19.1","General revision policy","Data revision - policy","Review annually, and updated when new data is available"
"19.2","General revision policy","Data revision - practice",""
"20.1","Identification Data","Source data","Data from FAOSTAT Agri-environmental Indicators Land Use http://www.fao.org/faostat/en/#data/EL."
"20.1.1","Identification Data","Code - Origin fro predominate  source data",""
"20.1.2","Identification Data","Code - type of data",""
"20.2","Identification Data","Frequency of data collection","Data are updated yearly."
"20.3","Identification Data","Code - Type and purpose of data collection","FAOSTAT questionnaires for underlying data."
"20.4","Identification Data","Data validation","Countries and International Organizations are responsible for transmitting data which have already been checked. Validation at FAO concerns any transmission errors, consolidation and data consistency- data also validated internally followed by peer-review."
"20.5","Identification Data","Data compilation","See FAOSTAT metadata and country notes for Inputs/Land Use."
"20.5.1","Identification Data","Code for type of processing",""
"20.5.2","Identification Data","Imputation rate (frequency and value)",""
"20.5.3","Identification Data","Coverage rate",""
"20.6","Identification Data","Adjustment","No adjustments are made"
"21.0","Comment","Comment","FAOSTAT Agri-Environmental Indicators domains are developed and maintained by the Environmental Statistics Team, FAO Statistics Division (ESS), with Regular Programme Funding under O6 and SO2."
