FCL Item code,FCL Title,Group,Scientific Name,Common Name,Definition
2455003,Manure spreaders and Fert. distributors,23 - MACHINERY,,,Manure spreaders and Fertiliser distributors are implements for spreading solid or liquid manure and distributing powder or granular fertilizers. Data are expressed in numbers in use in the agricultural sector.
2455004,Combine harvesters - threshers,23 - MACHINERY,,,Combine harvesters - threshers are self-propelled machines that collect and thresh in one operation. Data are expressed in numbers in use in the agricultural sector.
2455005,Balers,23 - MACHINERY,,,"Balers (including pickup balers) are machines that collect grass, hay or straw after it has been cut. They form a round or square bale by compressing the material or tying it with twine wire, or a plastic wrap. Data are expressed in numbers in use in the agricultural sector."
2455006,Root or tuber harvesting machines,23 - MACHINERY,,,Root or tuber harvesting machines are implements used to harvest root and tubers. Data are expressed in numbers in use in the agricultural sector.
2455007,"Threshing machines(staking,forage harv.)",23 - MACHINERY,,,"Threshing machines (staking, forage harvesting) are machines that separate grain from straw. Data are expressed in numbers in use in the agricultural sector."
2455008,Milking machines,23 - MACHINERY,,,"Milking machines are used for milking cows, sheep, goats, etc. Data are expressed in numbers in use in the agricultural sector."
2455009,"Agricultural tractors, total",23 - MACHINERY,,,"Agricultural tractors, total generally refer to total wheel, crawler or track-laying type tractors and pedestrian tractors used in agriculture. Data are available for numbers in use in the agricultural sector as of 2000. Data on import and export in value and number are also available as of 1961."
2455010,Pedestrian controlled tractors,23 - MACHINERY,,,"Pedestrian controlled tractors are small tractors equipped with a single driving axle carried on one or two wheels. They are not usually fitted with a seat and the steering is effected by means of two handles. Some types, however, have a one- or two-wheeled rear carriage with a seat for the driver. Data are expressed in numbers in use in the agricultural sector."
2455011,Agricultural tractors,23 - MACHINERY,,,Agricultural tractors generally refer to wheel and crawler or track-laying type tractors (excluding garden tractors) used in agriculture. Data are expressed in numbers in use in the agricultural sector.
2455012,Track-laying tractors,23 - MACHINERY,,,Track-laying tractors are tractors which travel on steel or rubber or treads. Data are expressed in numbers in use in the agricultural sector.
2455013,Other Agricultural tractors,23 - MACHINERY,,,"Other agricultural tractors include all other agricultural tractors that are not pedestrian controlled or track-lying, e.g. 4-wheel, 6-wheel, etc. Data are expressed in numbers in use in the agricultural sector."
2455014,Harvester and threshers (trade),23 - MACHINERY,,,Harvester and threshers refer to total harvesting and threshing machines as described by the Harmonised Coding System (HS) codes 8433 and 8437.10. Data refer to the value of the trade expressed in 1000 USD
2455015,"Milking, dairy machinery (trade)",23 - MACHINERY,,,"Milking, dairy machinery refer to total milking and dairy machines as described by the Harmonised Coding System (HS) code 8434. Data refer to the value of the trade expressed in 1000 USD."
2455016,Soil machinery (trade),23 - MACHINERY,,,Soil machinery refers to total machines described by the Harmonised Coding System (HS) code 8432. Data refer to the value of the trade expressed in 1000 USD.
2455017,Agricultural machinery nes (trade),23 - MACHINERY,,,Agricultural machinery not else specified (n.e.s.) refer to total Agricultural machines as described by the Harmonised Coding System (HS) codes 8435-8436. Data refer to the value of the trade expressed in 1000 USD
2510,Phosphate rock,22 - FERTILIZERS,,,Is a natural rock containing one or more calcium phosphate minerals of sufficient purity and quantity as to permit its use directly after grinding or after chemical processing in the manufacture of commercial phosphate fertilizers.
2814,"Ammonia, anhydrous",22 - FERTILIZERS,,,(NH3) is a material mostly produced by the synthetic process and at standard temperature and pressure is a gas. Fertilizer grade anhydrous ammonia contains about 82% of nitrogen.
283421,Potassium nitrate,22 - FERTILIZERS,,,KNONH3H2PO4 can be produced from naturally occurring sodium nitrate and potassium chloride and typically contains 13%N and 45% K2O.
3102,Nitrogen Fertilizers (N total nutrients),22 - FERTILIZERS,,,No definition available.
310210,Urea,22 - FERTILIZERS,,,"CO(NH2)2, is produced from synthetic ammonia and carbon dioxide (CO2) and contains 46% nitrogen in ammoniac form. Urea may be in granular, prilled or crystalline form."
310221,Ammonium sulphate,22 - FERTILIZERS,,,"(NH4)2SO4, is produced by reacting ammonia with sulphuric acid (H2SO4). It is produced as fine white granules or crystals and contains not less than 20.6% nitrogen in ammoniac form."
310230,Ammonium nitrate,22 - FERTILIZERS,,,"(NH4NO3), is produced by neutralizing nitric acid (HNO3) with ammonia (NH3). Ammonium nitrate may be in white or off-white granular or prilled form and coated with a suitable material to prevent absorption of moisture and caking in storage. Pure ammonium nitrate may have a total nitrogen content of about 35%, of which one-half is present as ammoniac nitrogen and the other half as nitrate nitrogen."
310240,Calcium ammonium nitrate,22 - FERTILIZERS,,,"NH4NO3+CaCO3, is produced from ammonium nitrate and finely pulverized calcium carbonate (CACO3). It contains not less than 20.5% and up to 28% of nitrogen, half of which is in the form of ammoniac nitrogen and the other half in the form of nitrate nitrogen. It is produced as white, off-white or grey granules or prills."
310280,Urea and ammonium nitrate solutions,22 - FERTILIZERS,,,Are produced from concentrated solutions of urea and ammonium nitrate by chemical or blending processes.
3103,Phosphate Fertilizers (P205 total nutrients),22 - FERTILIZERS,,,No definition available.
310310,Superphosphate,22 - FERTILIZERS,,,Superphosphate is a fertilizer produced by the action of concentrated sulfuric acid on powdered phosphate rock.
31031010,Superphosphate above 35%,22 - PESTICIDES,,,Is produced by the action of sulphuric and phosphoric acids on ground phosphate rock.
31031090,Superphosphate other,22 - PESTICIDES,,,Is produced by the action of concentrated sulphuric acid on ground phosphate rock.
3104,Potash Fertilizers (K20 total nutrients),22 - FERTILIZERS,,,No definition available.
310420,Potassium chloride (Muriate of potash),22 - FERTILIZERS,,,"Is refined from mined, low-grade naturally occurring ores as the mineral sylvite and in combination with sodium chloride as sylvinite. Potassium chloride contains from about 48 to 62 % K20."
310430,Potassium sulphate,22 - FERTILIZERS,,,Is a white crystalline salt and contains 48 to 52 per cent potash (K20). Potassium sulfate can be extracted from naturally occurring brines or by the decomposition of potassium chloride with sulfuric acid.
310500,Other NP compounds,22 - FERTILIZERS,,,"Can be produced as the result of a chemical reaction of nitric acid on phosphate rock, with or without added ammonia and/or phosphoric and/or sulfuric acid or between sulfuric acid and ammonia. or by simple mechanical mixing or blending. Other NP compounds may also include some AN grades with small amounts of phosphates."
310510,NPK complex <= 10kg,22 - FERTILIZERS,,,"Can be produced as the result of a chemical reaction of nitric acid on phosphate rock - the nitrophosphate route, with or without added ammonia and/or phosphoric and/or sulfuric acid or between sulfuric acid and ammonia - the ammoniation route."
310520,NPK complex >10kg,22 - FERTILIZERS,,,"Can be produced as the result of a chemical reaction of nitric acid on phosphate rock - the nitrophosphate route, with or without added ammonia and/or phosphoric and/or sulfuric acid or between sulfuric acid and ammonia - the ammoniation route."
310530,Diammonium phosphate (DAP),22 - FERTILIZERS,,,"(NH4)2HPO4, is produced by evaporating a solution of phosphoric acid with excess of ammonia."
310540,Monoammonium phosphate (MAP),22 - FERTILIZERS,,,"NH4H2PO4, is formed when a solution of phosphoric acid is added to ammonia until the solution is distinctly acid."
310551,Other nitrogen & phosphates compounds,22 - FERTILIZERS,,,"Can be produced as the result of a chemical reaction of nitric acid on phosphate rock, with or without added ammonia and/or phosphoric and/or sulfuric acid or between sulfuric acid and ammonia. or by simple mechanical mixing or blending. Other NP compound may also include some AN grades with small amounts of phosphates."
310559,Other nitrogen & phosphorus compounds,22 - FERTILIZERS,,,"Can be produced as the result of a chemical reaction of nitric acid on phosphate rock, with or without added ammonia and/or phosphoric and/or sulfuric acid or between sulfuric acid and ammonia. or by simple mechanical mixing or blending. Other NP compound may also include some AN grades with small amounts of phosphates."
310560,PK compounds,22 - FERTILIZERS,,,These comprise mixtures of superphosphate or basic slag or ground phosphate rock with straight potash products. PK compounds produced as a result of a chemical reaction are not produced for fertilizer usage.
310610,NPK complex,22 - FERTILIZERS,,,"Can be produced as the result of a chemical reaction of nitric acid on phosphate rock - the nitrophosphate route, with or without added ammonia and/or phosphoric and/or sulfuric acid or between sulfuric acid and ammonia - the ammoniation route."
310620,NPK blends,22 - FERTILIZERS,,,Consist of two or more intermediate granular fertilizer materials of matching physical characteristics blended together.
9999,test,- FODDER CROPS AND PRODUCTS,,,Test
