FCL Item code,FCL Title,Crop category,Source,Category,Categorized,Category (from FAO production definitions),Group,Scientific Name,Common Name,Definition
782,Jute-like fibres,Other crops,"Bastfibres, other",Non-food,No,Crops Primary,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Including among all: 
Abutilon avicennae 
Urena lobata; Urena sinuata 
Abroma augusta 
Hibiscus cannabinus 
Hibiscus sabdariffa 
Crotalaria juncea","
China jute 
Congo jute, malva, paka 
Indian flax 
kenaf, meshta 
rosella hemp 
sunn hemp","This definition covers all textile fibres extracted from the stems of dicotyledonous plants, o/t flax, ramie, true hemp and true jute. For trade coverage see 0780."
788,Ramie,Other crops,Ramie,Non-food,No,Crops Primary,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Boehmeria nivea
Boehmeria tenacissima","China grass, white ramie
rhea, green ramie",Ramie fibre is obtained from the bast of the plant. For trade coverage see 0780
789,Sisal,Other crops,Sisal,Non-food,No,Crops Primary,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,Agave sisalana,,"Sisal fibre is obtained from the leaves of the plant. It also is used as an ornamental plant. Trade data cover fibres that are raw, prepared for spinning, and tow and waste, including yarn waste and garnetted stock."
800,Agave fibres nes,Other crops,Agave,Non-food,Yes,Crops Primary,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Including among all: 
Agave foetida 
Agave fourcroydes 
Agave lecheguilla 
Agave cantala 
Agave americana 
Agave letonae","
Haiti hemp 
henequen 
ixtle, tampico 
maguey 
pita 
Salvador hemp","See 0789. The leaves of some agave varieties are used for the production of alcoholic beverages, such as aquamiel, mezcal, pulque and tequila."
809,Abaca manila hemp,Other crops,Manila fibre (abaca),Non-food,No,Crops Primary,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,Musa textilis,,The fibre is obtained from stalks of certain banana trees. For trade coverage see 0789.
813,Coir,Potential flex crops,Coconut,Non-food,Yes,Crops Primary,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,Cocos nucifera,,Coir fibre is obtained from the fibrous covering of the mesocarp. For trade coverage see 0789.
821,Fibre crops nes,Other crops,Fibre crops nes,Non-food,No,Crops Primary,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Including among all: 
Lygeum spartum; Stipa tenacissima 
Sansevieria spp. 
Neoglaziovia variegata 
Furcraea macrophylla 
Furcraea gigantea 
Phormium tenax 
Samuela carnerosana","
alfa, esparto 
bowstring hemp 
caroa 
fuque fibre 
Mauritius hemp 
New Zealand flax 
palma ixtle","Other fibres that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report vegetable fibres under this commodity heading that are classified individually by FAO. The fibre is obtained from the leaves, stalks or fruit of the plant. In instances where the fibrous part is normally used for other purposes, data cover only those fibres intended for spinning. For trade coverage see 0789."
826,Tobacco leaves,Commodity crops,Tobacco,Alcohol+Tobacco,Yes,Crops Primary,13 - TOBACCO AND RUBBER AND OTHER CROPS,Nicotiana tabacum,,"Unmanufactured dry tobacco, including refuse that is not stemmed or stripped, or is partly or wholly stemmed or stripped."
828,Cigarettes,Other crops,Tobacco,Alcohol+Tobacco,Yes,#N/A,13 - TOBACCO AND RUBBER AND OTHER CROPS,,,Includes cigarettes of tobacco substitutes.
829,Cigars and Cheroots,Other crops,Tobacco,Alcohol+Tobacco,Yes,#N/A,13 - TOBACCO AND RUBBER AND OTHER CROPS,,,"Includes cigars, cheroots and cigarillos of tobacco substitutes."
831,Tobacco Products nes,Commodity crops,Tobacco,Alcohol+Tobacco,Yes,#N/A,13 - TOBACCO AND RUBBER AND OTHER CROPS,,,"Includes smoking, chewing, snuff tobacco, homogenized or compressed tobacco, manufactured tobacco substitutes, tobacco extracts and essences."
836,Natural rubber,Commodity crops,Rubber,Non-food,Yes,Crops Primary,13 - TOBACCO AND RUBBER AND OTHER CROPS,Hevea brasiliensis,Latex,"The liquid secreted by the rubber tree. Includes stabilized or concentrated latex and prevulcanized rubber latex. In trade figures, liquid weight is converted to dry weight at 60%."
837,"Rubber, Natural (Dry)",Commodity crops,Rubber,Non-food,Yes,#N/A,13 - TOBACCO AND RUBBER AND OTHER CROPS,,,"In the form of sheets, crêpes, re-agglomerated granules, free-flowing powders, etc.; includes technically specified natural rubber (TSNR)."
839,Natural gums,Other crops,"Gums, natural",Non-food,No,Crops Primary,13 - TOBACCO AND RUBBER AND OTHER CROPS,"Including among all: 
Manilkara bidentata 
Manihot glaziovii 
Achras zapota 
Parthenium argentatum 
Palachium gutta 
Dieva costulana","
balata 
ceara 
chicle gum 
guayule 
gutta-percha 
jelutong","Extracted from the latex of trees of various species. Although similar to rubber in many ways, natural gums are usually less elastic."
840,"Compound Feed, Cattle",Other crops,"Feed, compound, cattle",Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,Prepared animal feed designed to provide a balanced diet (complete feed).
841,"Compound Feed, Poultry",Other crops,"Feed, compound, poultry",Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,See 0840.
842,"Compound Feed, Pigs",Other crops,"Feed, compound, pigs",Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,See 0840.
843,Pet Food,Other crops,Pet food,Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,"International trade classifications cover only dog and cat food. FAO trade data also cover food for other pets (i.e. fish, birds, etc.), whenever possible."
845,Compound Feed nes,Other crops,"Feed, compound, nes",Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,See 0840. See general note in the introduction.
846,Gluten Feed and Meal,Other crops,"Feed and meal, gluten",Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,"Generally, by-products of the wet milling of maize. Gluten feed consists of fibres, spent germ and steep liquor. Gluten meal contains endosperm protein fractions that remain following starch recovery (see Group 1)."
849,Feed Yeast,#N/A,#N/A,#N/A,#N/A,#N/A,11 - FODDER CROPS AND PRODUCTS,,,Inactive dried yeast.
850,Feed Supplements,Other crops,Feed supplements,Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,Prepared animal feed that supplements the basic farm produced feed with organic or inorganic substances.
851,Non-Protein Nitrogens,#N/A,#N/A,#N/A,#N/A,#N/A,11 - FODDER CROPS AND PRODUCTS,,,A mixture of different nutrients or substances that are used in making complete or supplementary feeds.
852,Other Concentrates nes,Other crops,"Feed, other concentrates nes",Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,See 0851.
853,Vitamins,Other crops,Vitamins,Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,See 0851.
854,Feed Additives,Other crops,Feed additives,Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,See 0851.
855,Feed Minerals,Other crops,Feed minerals,Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,See 0851.
857,"Hay, non leguminous",Other crops,"Hay, non-leguminous",Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,Hay that is mainly from grasses.
858,"Hay (Clover, Lucerne, etc.)",Other crops,"Hay (clover, lucerne,etc)",Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,Hay from leguminous crops.
859,Hay nes,Other crops,Hay (unspecified),Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,Hay from unspecified plants.
862,Alfalfa Meal and Pellets,Other crops,Alfalfa,Fodder,Yes,#N/A,11 - FODDER CROPS AND PRODUCTS,,,"Alfalfa (lucerne) dried, whole, cut, chopped, milled, pressed or pelletized."
866,Cattle,Non crops,Cattle,Animals,No,#N/A,16 - LIVESTOCK,"Bos taurus
Bos indicus
subgenus Bibos
Poephagus grunniens","common ox
zebu, humped ox
Asiatic ox
Tibetan yak","Animals of the genus listed, regardless of age, sex, or purpose raised. Data are expressed in number of heads."
867,Meat of cattle,Non crops,"Meat, cattle",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat of bovine animals, fresh, chilled or frozen, with bone in. Common trade names are beef and veal."
868,"Offals of cattle, edible",Non crops,"Offals, edible, cattle",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
869,Fat of cattle,Non crops,"Fat, cattle",Animal oil,No,#N/A,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,"Unrendered slaughter fats from bovine animals, including edible and inedible fats that are removed in the course of dressing the carcass."
870,"Meat of cattle, boneless",Non crops,"Meat, cattle, boneless (beef & veal)",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Boneless meat of bovine animals, whether fresh, chilled or frozen."
871,"Cattle, Butcher Fat",Non crops,"Fat, cattle butcher",Animal oil,No,#N/A,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Unrendered fats that are removed during butchering.
872,"Beef and Veal, Dried, Salted, Smoked",Non crops,"Meat, beef, dried, salted, smoked",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat of bovine animals, whether salted, in brine, dried or smoked.Includes edible flours and meals."
873,Meat Extracts,Non crops,"Meat, extracts",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,Extracts obtained by boiling meat under pressure and concentrating the resulting liquid after the fat has been removed. Includes juices obtained by pressing raw meat. Whenever possible trade data exclude fish extracts.
874,Sausages of Beef and Veal,Non crops,"Meat, beef and veal sausages",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Preparations of meat or offal, whether chopped, minced or of blood.They may be raw, cooked or smoked and contain other ingredients, andare then enclosed in natural or artificial casings."
875,Beef and Veal Preparations nes,Non crops,"Meat, beef, preparations",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat and offal (o/t liver) that are boiled, steamed, grilled, fried,roasted or otherwise cooked. Includes prepared meals that contain morethan 20% of meat and offal by weight."
877,Homogenized Meat Preparations,Non crops,"Meat, homogenized preparations",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,Preparations used in infant or dietetic food.
878,Liver Preparations,Non crops,Liver prep.,Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Liver of any animal, excluding fatty livers of code 1060."
882,"Cow milk, whole (fresh)",Non crops,"Milk, whole fresh cow",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,"Production data refer to raw milk containing all its constituents. Trade data normally cover milk from any animal, and refer to milk that is not concentrated, pasteurized, sterilized or other-wise preserved, homogenized or peptonized."
883,Standardized Milk,#N/A,#N/A,#N/A,#N/A,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,Milk in which the fat content is adjusted to a predetermined value without altering any other constituents.
885,"Cream, Fresh",Non crops,Cream fresh,Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,That portion of milk which is rich in milk fat and is separated by skimming or centrifuging.
886,Butter of Cow Milk,Non crops,"Butter, cow milk",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,Emulsion of milk fat and water that is obtained by churning cream. Trade data cover butter from the milk of any animal.
887,Ghee from Cow Milk,Non crops,"Ghee, butteroil of cow milk",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,Butter from which the water has been removed. Very common in hot countries. Includes also anhydrous butterfat or butter oil.
888,Skim Milk of Cows,Non crops,"Milk, skimmed cow",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,Milk from which most of the fat has been removed.
889,"Whole Milk, Condensed",Non crops,"Milk, whole condensed",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,Milk and cream from which water has been partly removed after heat-treating and concentrating. Normally sucrose is added to give the product stability and bacteriological safety.
890,"Whey, Condensed",Non crops,"Whey, condensed",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,Whey paste.
891,Yoghurt,Non crops,Yoghurt,Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,A fermented milk food.
892,"Yoghurt, Concentrated or Unconcent",Non crops,"Yoghurt, concentrated or not",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,"Includes additives such as sugar, flavouring materials, fruit or cocoa."
893,"Buttermilk, Curdled Milk, Acidified Milk",Non crops,"Buttermilk, curdled, acidified milk",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,Residue from butter making. Includes kephir.
894,"Whole Milk, Evaporated",Non crops,"Milk, whole evaporated",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,Milk and cream from which the water has been partly removed and which has been heat- treated to render it bacteriologically safe and stable.
895,"Skim Milk, Evaporated",Non crops,"Milk, skimmed evaporated",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,"Same as 0894, but applied to skim milk."
896,"Skim Milk, Condensed",Non crops,"Milk, skimmed condensed",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,"Same as 0889, but applied to skim milk."
897,Dry Whole Cow Milk,Non crops,"Milk, whole dried",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,"Milk and cream from which water has been completely removed by various methods. In form of powder, granules or other solid forms. May contain added sugar or other sweeteners."
898,Dry Skim Cow Milk,Non crops,"Milk, skimmed dried",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,"Same as 0897, but from skim milk. Normally does not exceed 1.5% fat content."
899,Dry Buttermilk,Non crops,"Milk, dry buttermilk",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
900,Dry Whey,Non crops,"Whey, dry",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,Used in both food and animal feed.
901,Cheese from Whole Cow Milk,Non crops,"Cheese, whole cow milk",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,Curd of milk that has been coagulated and separated from whey. May include some skimmed milk.
903,"Whey, Fresh",Non crops,"Whey, fresh",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,"The liquid part of the milk that remains after the separation of curd in cheese making. Its main food use is in the preparation of whey cheese, whey drinks and fermented whey drinks. The main industrial uses are in the manufacture of lactose, whey paste and dried whey."
904,Cheese from Skimmed Cow Milk,Non crops,"Cheese, skimmed cow milk",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,May include some whole milk.
905,Whey Cheese,Non crops,"Whey, cheese",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
907,Processed Cheese,Non crops,"Cheese, processed",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
908,Reconstituted Milk,Non crops,"Milk, reconstituted",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,"Obtained by adding water, fat, etc. to milk powder."
909,"Products of Natural Milk Constitue, nes",Non crops,"Milk, products of natural constituents nes",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
910,Ice Cream and Edible Ice,Non crops,Ice cream and edible ice,Miscellaneous,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,"A product with a milk or cream base to which sweeteners, eggs, etc. have been added."
916,Egg Albumin,#N/A,#N/A,#N/A,#N/A,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,The main protein constituent of egg white.
917,Casein,#N/A,#N/A,#N/A,#N/A,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,The main protein constituent of milk. Casein is obtained from skimmed milk by precipitation (curdling) with acids or rennet.
919,"Cattle hides, fresh",Non crops,"Hides, cattle, fresh",Non-food,No,#N/A,19 - HIDES AND SKINS,,,Green hide or skin as removed from the carcass of the animal (adult bovine). Used for production data only.
920,"Hides, Wet-Salted (Cattle)",Non crops,"Hides, cattle, wet salted",Non-food,No,#N/A,19 - HIDES AND SKINS,,,Approximately 80-85% of green weight.
921,"Hides, Dry-Salted (Cattle)",Non crops,"Hides, cattle, dry salted",Non-food,No,#N/A,19 - HIDES AND SKINS,,,"Includes dry and dry-salted, approximately 35% and 55% of green weight, respectively."
922,"Hides nes, Cattle",Non crops,"Hides, cattle, nes",Non-food,No,#N/A,19 - HIDES AND SKINS,,,"Limed, pickled or otherwise preserved."
927,"Skins, fresh (calves)",#N/A,#N/A,#N/A,#N/A,#N/A,19 - HIDES AND SKINS,,,See 0919. From young bovine animals.
928,"Skins, Wet-Salted (Calves)",Non crops,"Skins, calve, wet salted",Non-food,No,#N/A,19 - HIDES AND SKINS,,,See 0920.
929,"Skins, Dry-Salted (Calves)",Non crops,"Skins, calve, dry salted",Non-food,No,#N/A,19 - HIDES AND SKINS,,,See 0921.
930,"Skins nes, Calves",Non crops,"Skins, calve, nes",Non-food,No,#N/A,19 - HIDES AND SKINS,,,See 0922.
946,Buffaloes,Non crops,Buffaloes,Animals,No,#N/A,16 - LIVESTOCK,"Bubalus bubalus; Bubalus arnee; Bubalus depressicornis 
genus Syncerus 
Bison bison 
Bison bonasus","Indian, Asiatic, pigmy, water buffalo 

African buffalo 
American bison 
European bison 
beeffalo (cross between a bison and a domesticated beef animal)",See 0866. Excludes wild bisons and buffaloes.
947,Buffalo meat,Non crops,"Meat, buffalo",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen, with bone in or boneless."
948,"Offals of buffalo, edible",#N/A,#N/A,#N/A,#N/A,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
949,Fat of buffalo,#N/A,#N/A,#N/A,#N/A,#N/A,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,See 0869.
951,Buffalo milk,#N/A,#N/A,#N/A,#N/A,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,See 0882 and derived products.
952,Butter of Buffalo Milk,#N/A,#N/A,#N/A,#N/A,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
953,"Ghee, from Buffalo Milk",Non crops,"Ghee, of buffalo milk",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
954,Skim Milk of Buffalo,#N/A,#N/A,#N/A,#N/A,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
955,Cheese of Buffalo Milk,#N/A,#N/A,#N/A,#N/A,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
957,"Buffalo hides, fresh",Non crops,"Hides, buffalo, fresh",Non-food,No,#N/A,19 - HIDES AND SKINS,,,See 0919. Both adult and young animals.
958,"Hides, Wet-Salted (Buffalo)",Non crops,"Hides, buffalo, wet salted",Non-food,No,#N/A,19 - HIDES AND SKINS,,,See 0920.
959,"Hides, Dry-Salted (Buffalo)",Non crops,"Hides, buffalo, dry salted",Non-food,No,#N/A,19 - HIDES AND SKINS,,,See 0921.
976,Sheep,Non crops,Sheep,Animals,No,#N/A,16 - LIVESTOCK,Ovis spp.,,"See 0866. Includes Uriel, Argali, Bighorn, Karakul and Astrakhan."
977,Meat of sheep,Non crops,"Meat, sheep",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat of sheep and lamb, whether fresh, chilled or frozen, with bone inor boneless."
978,"Offals of sheep, edible",Non crops,"Offals, sheep,edible",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
979,Fat of sheep,Non crops,"Fat, sheep",Animal oil,No,#N/A,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Unrendered slaughter fats of sheep. See 0869.
982,Sheep milk,Non crops,"Milk, whole fresh sheep",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,See 0882 and derived products.
983,Butter and Ghee of Sheep Milk,Non crops,"Butter and ghee, sheep milk",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
984,Cheese of Sheep Milk,Non crops,"Cheese, sheep milk",Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
985,Skim Sheep Milk,#N/A,#N/A,#N/A,#N/A,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
987,"Wool, Greasy",Non crops,"Wool, greasy",Non-food,No,#N/A,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"A natural fibre taken from sheep or lambs. Includes fleece-washed, shorn and pulled wool (from slaughtered animals), but does not include carded or combed wool."
988,"Wool, Degreased",Non crops,"Wool, degreased",Non-food,No,#N/A,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Includes scoured and carbonized, but does not include carded or combed wool."
994,Wool Grease and Lanolin,Non crops,Grease incl. lanolin wool,Animal oil,No,#N/A,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,"Extracted from the soapy water in which wool has been scoured, or from greasy wool by meand of solvents. Lanolin is obtained by purifying wool grease. Includes wool grease olein and stearin."
995,"Sheepskins, fresh",Non crops,"Skins, sheep, fresh",Non-food,No,#N/A,19 - HIDES AND SKINS,,,See 0919. Both adult and young animals.
996,"Skins, Wet-Salted (Sheep)",Non crops,"Skins, sheep, wet salted",Non-food,No,#N/A,19 - HIDES AND SKINS,,,Sheep and lamb skins without wool. See 0920.
997,"Skins, Dry-Salted (Sheep)",Non crops,"Skins, sheep, dry salted",Non-food,No,#N/A,19 - HIDES AND SKINS,,,Sheep and lamb skins without wool. See 0921.
998,"Skins nes, Sheep",Non crops,"Skins, sheep, nes",Non-food,No,#N/A,19 - HIDES AND SKINS,,,Sheep and lamb skins without wool. See 0922.
999,"Skins with Wool, Sheep",Non crops,"Skins, sheep, with wool",Non-food,No,#N/A,19 - HIDES AND SKINS,,,"Sheep and lamb skins (excluding 1002), with wool on, salted, dried, limed, pickled or otherwise preserved."
1002,Karakul skins,Non crops,"Skins, karakul",Non-food,No,#N/A,19 - HIDES AND SKINS,,,"Raw skins of Astrakhan, Caracul, Persian or similar lambs."
1007,"Wool, Shoddy",Non crops,"Wool, shoddy",Non-food,No,#N/A,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Garnetted stock of wool or of fine or coarse animal hair obtained by garnetting rags or waste of spinning, weaving, knitting etc."
1008,"Hair, Carded, Combed",Non crops,"Hair, carded/combed",Non-food,No,#N/A,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Wool and fine or coarse animal hair, carded or combed, including combed wool in fragments."
1009,"Wool, Hair Waste",Non crops,"Wool, hair waste",Non-food,No,#N/A,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,Noils of wool or animal hair not garnetted; other waste of wool and animal hair (excluding horsehair) not covered in 1007.
1010,Wool Tops,#N/A,#N/A,#N/A,#N/A,#N/A,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,Slivers consisting of long fibres laid parallel by combing and then wound into balls.
1016,Goats,Non crops,Goats,Animals,No,#N/A,16 - LIVESTOCK,Capra spp.,,"See 0866. Includes Hircus, Ibex, Nubiana, Pyrenaica, Tibetana, Kashmir and Angora."
1017,Goat meat,Non crops,"Meat, goat",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat of goats and kids, whether fresh, chilled or frozen, with bone inor boneless."
1018,"Offals of goats, edible",Non crops,"Offals, edible, goats",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1019,Fat of goats,#N/A,#N/A,#N/A,#N/A,#N/A,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Unrendered slaughter fats of goats. See 0869.
1020,Goat milk,#N/A,#N/A,#N/A,#N/A,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,See 0882 and derived products.
1021,Cheese of Goat Milk,Non crops,Cheese of goat mlk,Dairy products+eggs,No,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
1022,Butter of Goat Milk,#N/A,#N/A,#N/A,#N/A,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
1023,Skim Milk of Goat,#N/A,#N/A,#N/A,#N/A,#N/A,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
1025,"Goatskins, fresh",Non crops,"Skins, goat, fresh",Non-food,No,#N/A,19 - HIDES AND SKINS,,,See 0919. Both adult and young animals.
1026,"Skins, Wet-Salted (Goats)",Non crops,"Skins, goat, wet salted",Non-food,No,#N/A,19 - HIDES AND SKINS,,,Includes kids. See 0920.
1027,"Skins, Dry-Salted (Goats)",Non crops,"Skins, goat, dry salted",Non-food,No,#N/A,19 - HIDES AND SKINS,,,Includes kids. See 0921.
1028,"Skins nes, Goats",Non crops,"Skins, goat, nes",Non-food,No,#N/A,19 - HIDES AND SKINS,,,Includes kids. See 0922.
1030,Fine goat hair,Non crops,"Hair, goat, fine",Non-food,No,#N/A,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Hair from cashmere, angora (mohair) and similar goats. Excludes carded or combed hair."
1031,Coarse goat hair,Non crops,"Hair, goat, coarse",Non-food,No,#N/A,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,Common goat hair. Not carded or combed hair.
1034,Pigs,Non crops,Pigs,Animals,No,#N/A,16 - LIVESTOCK,"Sus domestica 
Sus scrofa","domestic pig 
wild boar",See 0866. Excludes non-domesticated wild boars.
1035,Pig meat,Non crops,"Meat, pig",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat, with the bone in, of domestic or wild pigs (e.g. wild boars),whether fresh, chilled or frozen."
1036,"Offals of pigs, edible",Non crops,"Offals, pigs, edible",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1037,Fat of pigs,Non crops,"Fat, pigs",Animal oil,No,#N/A,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Unrendered slaughter fats of pigs. See 0869.
1038,Pork,Non crops,"Meat, pork",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Pig meat, excluding butcher fat and bones."
1039,Bacon and Ham,Non crops,Bacon and ham,Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat of pigs, whether salted, in brine, dried or smoked."
1040,"Pig, Butcher Fat",Non crops,"Fat, pig butcher",Animal oil,No,#N/A,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,See 0871.
1041,Sausages of Pig Meat,Non crops,"Meat, pig sausages",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,See 0874.
1042,Pig Meat Preparations,Non crops,"Meat, pig, preparations",Meat,No,#N/A,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,See 0875.
1043,Lard,Non crops,Lard,Fats,No,#N/A,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Rendered pig fat.
1044,"Pigskins, fresh",#N/A,#N/A,#N/A,#N/A,#N/A,19 - HIDES AND SKINS,,,"See 0919. In many countries, pigskins are not removed from the carcasses."
1045,"Skins, Wet-Salted (Pigs)",Non crops,"Skins, pig, wet salted",Non-food,No,#N/A,19 - HIDES AND SKINS,,,See 0920.
1046,"Skins, Dry-Salted (Pigs)",Non crops,"Skins, pig, dry salted",Non-food,No,#N/A,19 - HIDES AND SKINS,,,See 0921.
1047,"Skins nes, Pigs",Non crops,"Skins, pig, nes",Non-food,No,#N/A,19 - HIDES AND SKINS,,,See 0922.
